amount,hour,accountAge,velocity,fraud
62888,5,345,3,0
85404,11,308,5,1
92851,6,460,4,1
59975,2,795,1,0
70379,7,689,4,1
85480,5,586,5,1
65048,20,262,4,1
71890,10,410,5,1
88485,13,110,1,0
96565,12,150,4,1
2234,4,563,5,0
43226,3,14,3,0
65721,1,845,3,1
33190,15,462,2,0
96148,23,638,1,1
34642,10,647,4,1
96922,11,254,1,0
53911,16,754,2,0
78089,10,801,3,1
46124,21,469,3,0
81735,19,571,3,0
50298,14,461,4,1
74998,16,281,5,1
62553,23,112,4,1
8913,2,975,4,0
71462,10,616,2,0
44309,16,110,5,1
98953,15,236,1,1
53704,22,287,3,1
74297,17,234,2,1
50575,6,91,5,1
75511,2,144,5,1
91465,1,357,4,1
48678,8,27,4,0
67415,4,883,1,0
14448,21,506,3,0
93418,4,488,5,1
79160,22,663,4,1
53499,3,224,1,0
73057,5,60,1,0
29946,17,228,1,0
46123,12,638,2,0
23505,12,641,5,1
82467,12,557,5,1
54090,3,680,5,1
44778,5,658,5,1
84751,2,856,4,1
20736,3,263,4,0
827,13,223,3,0
72678,3,329,5,1
43349,19,581,4,1
39489,3,468,3,0
72514,5,341,1,1
15942,1,451,4,0
33815,8,136,3,0
5912,1,556,4,1
83408,14,929,3,1
7544,13,530,5,1
50892,21,536,5,1
48731,7,509,5,1
88267,9,418,3,1
57919,11,455,3,1
20624,12,223,3,0
18899,13,371,4,1
63974,18,900,4,1
30967,15,752,5,0
27780,15,932,4,1
34906,17,411,1,0
9055,0,179,4,0
67578,12,841,3,1
97944,3,599,1,0
59366,23,546,5,1
69888,3,199,4,1
20218,9,503,5,1
69841,10,368,2,0
56263,17,820,4,0
72143,0,577,3,0
46057,8,800,3,0
68380,14,388,2,0
64076,6,236,1,0
57887,16,435,3,1
82897,20,615,2,0
52717,12,696,2,0
46289,14,935,2,0
15205,13,462,4,1
57777,4,856,3,0
62803,14,604,4,0
86355,9,482,1,1
68650,7,963,4,1
68858,19,638,5,1
95864,20,474,1,1
25170,3,918,3,0
33354,15,70,3,0
99893,5,431,5,1
82655,13,721,1,1
79096,11,877,3,1
48190,16,475,5,1
8024,9,998,3,0
3892,5,273,5,0
55227,6,279,2,1
7013,10,87,4,0
31040,9,446,5,1
63381,22,696,4,1
54993,8,772,2,1
2605,1,418,3,0
47842,15,145,1,0
6055,3,906,3,0
95672,23,684,2,0
97818,18,856,5,1
39021,11,357,1,0
28281,12,959,4,1
23246,21,596,3,0
28763,17,709,1,0
24806,18,879,1,0
88012,8,955,4,1
43859,0,273,3,0
48069,8,191,4,0
31828,18,770,1,0
47747,5,60,4,0
11718,1,693,1,0
91375,8,321,2,0
89226,17,130,5,1
37803,0,715,4,1
35419,17,210,2,0
22430,0,492,2,0
56561,20,200,5,1
70305,10,244,5,1
30039,13,518,2,0
87685,13,889,5,1
75302,12,325,3,1
13586,8,884,4,1
17357,10,742,4,0
28579,23,183,2,0
74725,2,994,3,0
2694,22,768,1,0
23009,1,894,2,0
49425,18,280,1,0
31345,12,565,2,0
95599,13,456,4,1
36667,11,904,4,0
50797,18,318,5,0
2450,2,991,4,1
59979,23,305,5,1
63148,17,130,5,1
82480,2,881,5,1
60824,0,90,1,1
78622,3,84,4,1
66548,6,959,1,0
34499,10,949,5,0
64290,19,310,5,1
7193,12,211,2,0
27980,1,514,5,1
22980,1,313,4,1
61777,23,517,1,1
90333,18,553,1,0
93939,20,688,4,1
23592,16,724,2,0
81256,7,712,3,1
81671,20,798,5,1
76144,8,323,4,1
85339,2,123,1,1
71563,8,769,5,1
56297,15,733,3,0
58356,20,154,1,1
93831,2,102,3,0
72329,23,562,3,0
50730,6,624,2,1
50149,16,624,5,1
79009,7,892,3,0
55812,2,401,3,1
93579,5,822,5,1
71402,7,538,1,1
41614,14,313,4,1
26438,3,782,2,0
85003,6,622,1,0
53143,1,744,5,0
15390,2,800,5,0
24446,20,973,5,1
58994,20,184,4,1
1587,18,907,3,0
64459,12,875,2,0
75443,16,578,1,0
15135,5,160,2,0
48039,20,631,3,0
99193,14,997,1,0
89855,11,418,3,1
89663,18,965,2,0
71780,11,522,3,0
48437,11,89,3,0
31166,6,560,1,0
10245,19,467,4,1
12041,15,919,1,0
61426,2,317,3,1
15522,8,695,2,0
26030,23,458,5,0
54181,20,975,3,0
58401,7,999,3,0
38040,11,744,1,0
11603,19,856,1,1
63169,20,198,3,0
75495,17,720,4,1
97436,10,99,4,1
59334,4,803,2,0
50763,22,961,4,1
39114,14,75,5,1
7856,3,506,2,0
83411,14,839,2,0
74415,4,977,2,1
22860,3,528,3,0
70700,0,629,4,1
27331,15,17,4,1
14500,15,730,3,0
86606,21,117,4,1
16823,0,532,3,0
71350,23,313,3,1
7677,20,370,1,0
78957,13,509,4,1
9574,9,511,3,0
98014,1,133,4,1
80326,1,707,2,0
17632,18,652,5,1
89480,18,967,4,1
18602,3,93,2,0
15060,17,655,3,0
25581,2,122,5,0
72308,9,988,2,0
27288,7,257,2,0
25305,16,825,3,0
94077,7,647,3,0
5361,8,743,1,0
14699,4,987,2,0
58645,20,984,1,1
29843,1,622,2,0
22703,8,130,1,0
39368,0,9,5,1
54714,12,817,5,0
21741,19,241,4,1
92776,15,605,2,1
46706,6,506,3,0
65027,20,138,4,1
63074,9,857,2,1
41812,10,552,2,0
94780,15,873,5,1
74305,13,976,5,1
25231,3,680,1,0
46853,2,354,1,0
87691,9,106,3,1
40919,16,843,3,0
98418,10,38,5,1
3945,21,239,5,0
29445,3,996,1,0
23856,14,62,4,0
21904,22,760,3,0
87246,20,982,4,1
61317,4,136,1,1
94435,10,492,1,1
70151,10,948,2,0
89676,23,100,5,1
42904,21,666,4,0
25028,20,380,2,0
65672,6,579,2,1
89730,21,298,2,0
52269,18,507,3,0
81934,21,425,4,1
29878,6,788,4,0
36671,13,62,2,0
56989,8,633,3,0
3044,1,319,2,0
26358,22,815,1,0
5471,0,706,2,0
47107,6,682,3,0
27916,8,984,3,0
7524,5,800,5,0
35919,5,931,3,0
52179,23,906,1,1
14592,2,799,5,1
2510,22,404,1,0
74309,4,679,3,1
87844,16,568,1,1
32915,20,258,1,0
82121,14,872,4,1
63091,19,396,2,1
81712,11,973,4,1
65186,3,499,4,1
24399,19,801,1,0
71207,22,738,3,0
65665,12,794,3,0
48422,19,74,4,0
47653,2,607,1,0
24561,22,420,4,0
89455,19,244,5,1
49307,17,918,3,0
75745,19,764,5,1
19608,9,392,3,0
13964,6,193,5,0
66540,2,827,1,0
1734,1,995,2,0
51305,8,357,1,1
50229,13,301,4,1
87954,5,325,5,1
27426,15,395,5,1
88123,22,274,1,1
77453,14,949,4,1
23600,3,511,4,0
97109,22,263,2,0
23641,4,492,1,0
67841,21,157,3,0
26226,3,92,4,1
46026,10,274,4,1
33475,6,912,2,0
82618,13,780,1,1
13869,1,760,1,0
60526,4,765,1,1
38988,1,553,1,0
85579,0,177,1,0
63446,5,10,5,1
80598,7,762,3,1
88839,8,309,3,0
41738,3,658,1,0
2904,0,82,1,0
91217,16,992,1,0
59674,15,919,1,1
1410,9,826,4,0
19366,20,711,1,0
6909,16,244,4,0
59852,4,254,3,0
45284,3,362,2,0
78408,20,341,2,1
72366,0,630,3,1
97696,13,675,5,1
11283,12,390,2,0
25070,22,1,5,1
84718,20,417,2,0
71124,7,50,1,1
42996,15,339,4,0
38605,1,585,1,0
7474,14,354,5,0
2672,2,291,3,0
93824,6,212,3,1
3020,1,263,3,0
3828,2,119,5,1
72072,13,530,5,1
42962,22,804,1,0
80441,8,980,4,1
24839,20,423,1,0
9918,20,529,4,0
55331,1,684,4,1
44668,4,786,1,0
88675,23,977,3,1
7285,23,374,5,0
82286,18,513,3,1
85888,19,510,5,1
29299,6,175,3,0
99117,11,436,4,1
37897,8,464,4,1
16604,12,819,3,0
42780,11,970,4,1
41625,9,933,3,0
24637,15,210,4,1
50215,23,143,5,1
22833,4,669,4,0
92913,3,323,3,0
18844,8,444,4,0
41518,23,123,2,0
517,5,429,4,0
97092,1,490,4,1
72283,22,518,4,1
56199,16,648,3,0
27886,13,407,5,0
68411,20,688,1,1
78463,1,11,5,1
2018,13,44,3,0
20644,15,501,5,0
72805,8,766,2,1
41716,11,724,2,0
21262,4,200,4,0
95670,5,568,4,1
66475,23,229,4,1
45929,11,241,2,0
63417,1,282,2,1
66058,4,212,4,1
45786,16,963,2,0
96591,12,311,3,0
52212,1,712,4,1
81323,17,392,4,1
5517,2,56,4,0
41078,7,605,1,0
98141,12,877,4,1
46043,20,968,3,0
57468,21,592,5,1
8318,0,978,2,0
60057,1,892,2,1
48862,0,493,3,0
62966,17,961,4,1
70996,0,705,3,1
98795,22,572,1,1
3009,10,438,1,0
6245,19,567,2,0
31455,7,808,2,0
20711,6,895,5,1
69867,19,109,5,1
45598,2,683,1,0
35608,0,241,1,0
93731,12,646,5,1
98545,11,830,4,1
40534,10,614,2,0
38990,8,775,5,0
2531,21,231,2,0
67948,0,878,5,1
62515,23,616,4,1
46975,14,936,2,1
73492,10,865,4,1
46473,16,608,1,0
98308,15,361,2,0
47362,19,483,1,0
23789,8,319,3,0
22870,7,205,3,0
54014,3,771,1,1
9103,20,773,2,0
77238,22,245,4,1
95102,17,750,1,0
10718,3,509,3,0
75410,9,883,5,1
19710,21,324,3,0
19286,19,183,5,0
79071,10,145,2,0
83360,11,717,1,1
58580,0,614,5,1
99825,12,578,3,1
84455,15,469,4,1
67284,5,349,3,1
13978,14,370,1,0
4838,0,256,4,0
76361,21,28,1,1
22243,13,950,3,0
94165,15,718,1,1
54447,4,104,2,0
9845,17,419,3,0
67083,20,291,4,1
40638,16,944,2,0
25207,1,457,2,0
48468,18,977,5,1
95374,0,986,4,1
64494,1,165,1,0
53023,13,70,5,1
77498,20,908,5,1
22875,18,527,4,1
522,5,423,1,0
65736,2,241,1,0
36355,8,507,4,1
8471,22,336,3,0
10456,9,38,3,0
91013,0,233,5,1
27014,8,395,4,1
4732,0,401,3,0
2844,16,928,2,0
12400,10,959,5,0
37311,9,97,4,1
64835,4,93,2,1
23456,18,759,4,1
40963,13,869,5,0
62015,6,256,5,1
25378,9,189,2,0
79805,2,292,3,1
27408,23,1,4,0
4997,7,326,1,0
113,0,263,3,0
80393,0,196,5,1
23449,17,977,4,0
12336,3,335,5,0
1590,15,185,5,0
93295,0,502,4,1
11469,5,726,5,1
91992,2,262,2,1
2865,7,687,5,1
22187,11,905,1,0
59741,10,845,3,0
95920,13,287,3,0
65160,16,213,2,1
69920,0,330,1,0
99899,13,472,3,0
16602,9,38,2,0
67961,20,148,4,1
47148,20,801,1,0
57520,10,777,4,1
60931,19,888,4,1
73107,20,832,3,0
17016,19,674,4,0
83171,19,403,3,1
99794,5,15,1,0
15241,1,903,3,0
88550,0,580,3,0
21013,21,967,5,1
40949,12,856,2,1
10684,21,171,2,0
7615,0,779,5,0
3718,7,148,2,0
41313,5,959,1,0
13028,4,335,2,0
73104,1,40,4,1
5645,17,273,3,0
45793,5,498,5,0
41423,14,955,3,0
11781,1,644,4,0
93293,23,272,1,1
55457,12,107,2,0
9911,9,745,4,0
18495,9,115,2,0
35303,7,8,3,0
31312,9,327,2,0
22181,21,693,5,0
87672,20,924,2,0
76109,11,466,3,1
13779,10,455,2,0
1770,10,20,5,0
81461,8,32,2,1
36847,13,958,5,0
34238,6,980,1,0
79032,5,648,3,1
82004,18,846,4,1
7464,15,833,4,0
81607,17,175,1,0
46547,19,759,2,0
99568,14,593,1,1
45114,5,927,1,0
68779,1,194,1,1
51865,14,352,1,1
97151,2,706,3,1
45149,23,388,1,0
4297,11,716,3,0
7436,12,362,2,0
34127,15,681,1,0
8358,18,995,2,0
84517,18,941,3,1
87814,8,434,3,0
2801,12,163,3,0
72721,9,219,4,1
36866,23,792,4,1
39452,7,151,1,0
87637,7,324,3,0
76360,9,482,4,1
63796,21,150,1,1
74528,0,924,4,1
16332,11,869,1,0
96657,11,155,5,1
84996,6,59,5,1
55751,6,500,2,1
94579,6,682,4,1
77924,4,255,1,0
94215,7,574,5,1
96425,22,316,1,0
24689,6,834,4,0
36638,18,658,2,0
12098,0,59,3,0
84248,23,18,1,1
23470,6,249,4,0
95909,17,98,1,0
37633,7,323,2,0
1679,21,983,1,0
57989,4,283,2,1
24593,20,405,3,0
86749,18,968,3,0
34842,1,651,5,0
32941,9,475,3,0
52995,23,997,2,0
57814,23,660,1,0
48629,3,429,2,0
60206,5,80,1,1
26683,15,443,3,0
51577,21,919,4,1
52782,20,126,1,0
19638,17,26,3,0
57439,10,680,2,0
35124,14,989,5,0
35674,11,131,3,0
90004,0,329,1,1
16166,13,587,1,0
34770,6,522,2,0
45061,11,667,4,0
27583,13,523,3,0
26696,8,656,2,0
31336,3,454,3,0
19147,4,638,3,0
33323,8,23,4,1
49755,23,110,1,1
6509,0,943,4,1
54077,5,414,4,1
52380,11,336,3,1
14773,22,685,2,0
78814,20,833,4,0
72877,22,362,2,0
53688,18,627,1,0
85340,16,846,1,0
11277,2,938,5,1
9584,5,988,1,0
36535,2,981,1,0
78236,1,261,1,1
31918,7,57,1,0
7211,21,933,1,0
57476,15,420,2,1
10504,3,238,5,0
25662,22,607,4,1
77882,11,428,3,0
23780,23,621,5,0
79123,16,983,2,1
94602,11,10,2,1
5438,11,135,1,0
11480,10,876,5,0
80821,20,689,3,1
51375,18,604,2,0
33133,0,497,2,0
81130,15,805,3,1
64748,4,438,2,1
75407,18,507,5,1
20285,5,393,4,1
25098,3,285,4,1
80638,2,538,1,0
50638,14,390,2,1
28252,7,830,5,1
82368,2,273,2,1
5955,4,836,2,0
98378,20,613,3,0
94999,20,297,4,1
11263,21,18,3,0
12029,20,17,4,1
54588,13,762,5,1
62563,5,973,4,1
4145,21,839,1,0
66983,4,231,5,1
24990,23,644,4,0
28509,2,856,1,0
78880,7,426,3,0
4356,3,713,1,0
21209,19,30,4,1
30358,3,70,1,0
95394,4,571,3,0
67433,14,553,4,1
44914,23,293,2,0
43422,20,827,4,1
79121,13,440,1,1
9428,8,817,1,0
77503,11,998,4,1
24368,12,806,1,0
7520,11,249,1,0
21446,5,415,5,0
26467,0,614,5,1
7869,23,429,5,1
82883,16,856,2,0
65026,9,499,3,0
44480,22,375,4,1
92178,14,875,3,0
61749,8,870,5,1
7461,17,28,2,0
81655,13,960,5,1
27102,6,444,1,0
31228,21,434,5,0
18845,2,921,3,0
42055,19,7,3,0
18996,3,356,4,1
82517,0,128,3,0
9968,21,994,3,0
82850,7,67,2,0
78771,1,926,5,1
70360,14,518,1,0
16887,16,53,5,0
72160,4,63,4,1
59351,10,406,2,0
75767,20,870,2,1
22658,15,199,5,1
43448,9,561,5,0
34005,2,783,2,0
33688,8,234,3,0
7055,3,123,3,0
8362,12,865,1,0
80162,5,111,1,1
14044,15,548,4,1
72036,20,462,2,1
63904,21,476,4,1
84013,11,169,4,1
62570,17,264,5,1
47877,5,405,3,0
13849,5,744,1,0
71655,22,67,1,1
90376,21,46,3,0
83834,9,123,4,1
76182,9,236,2,1
42936,22,424,3,0
19005,15,721,5,1
55878,2,67,3,0
27582,0,485,3,0
42928,23,635,5,0
26480,15,588,4,1
91429,5,746,5,1
57180,3,93,4,1
9885,2,135,1,0
36667,18,735,2,0
14154,17,781,5,1
84140,14,50,3,0
13282,23,571,1,0
48158,13,332,3,0
22260,0,869,1,0
4176,9,295,1,0
56996,23,629,4,1
37240,0,426,4,1
82132,10,907,4,1
56593,12,8,3,0
270,22,128,1,0
20895,23,139,5,1
22887,13,481,3,0
52700,19,617,4,1
80183,7,326,5,1
2707,17,341,5,1
8002,18,88,1,0
832,10,587,2,0
64638,18,850,4,0
85839,14,548,5,1
52963,4,844,1,1
9015,5,843,4,1
67134,18,685,4,1
25108,4,639,2,0
16194,9,649,5,0
48930,9,775,3,0
35519,19,436,1,0
8599,10,801,1,1
39220,20,569,2,0
24318,2,471,3,0
30952,12,377,2,0
25918,19,583,1,0
8047,3,890,3,0
67541,17,576,5,1
75280,10,906,1,1
23036,17,601,5,1
75272,2,744,5,1
72309,2,660,4,1
84301,6,582,1,0
30642,9,71,2,0
74337,21,568,5,1
21814,21,111,2,1
64940,0,373,1,0
25230,18,620,5,0
37586,20,102,2,0
6732,16,375,5,1
10378,23,731,5,0
16113,21,984,4,1
13165,18,93,4,0
42709,4,457,5,1
28466,13,57,4,0
96507,13,323,5,1
71392,4,699,2,1
22625,8,426,5,1
31423,8,331,4,1
38335,9,503,2,0
25375,19,123,2,0
67043,22,539,3,0
46512,2,352,2,1
33529,19,541,1,0
72136,17,939,5,1
64139,23,685,4,1
62684,9,175,5,1
51791,7,748,1,1
80311,16,376,1,0
82272,10,780,3,1
72031,22,989,2,1
37283,8,497,3,0
58028,15,413,3,1
16848,3,423,5,1
11074,0,566,4,1
41623,22,599,3,0
54757,9,451,5,1
88103,0,258,5,1
579,22,240,5,0
66356,6,722,2,1
52193,3,952,3,0
84534,23,59,3,1
19852,8,998,5,0
61182,21,900,1,0
61233,22,485,5,1
11522,8,239,5,0
25803,13,137,5,0
58592,0,885,4,0
11269,14,793,1,0
92019,19,839,1,0
53229,0,34,4,1
80569,4,611,5,1
8664,6,359,4,0
95035,0,802,4,1
50195,20,807,3,0
7830,20,420,2,0
16072,4,351,4,1
61120,11,702,5,1
16833,7,640,5,1
74311,10,539,4,1
49525,3,728,4,1
720,7,57,5,1
81271,10,237,1,0
9848,8,531,2,0
12333,3,164,2,0
73454,7,240,3,0
43299,23,439,4,0
99927,8,637,5,1
13714,19,185,2,0
37478,19,639,5,1
88526,0,126,2,1
50906,15,360,3,1
34621,14,347,2,0
1644,12,460,5,1
47279,13,550,5,1
39500,10,70,4,1
92129,3,539,2,0
13620,1,218,1,0
73476,23,564,4,1
77666,3,746,2,0
89580,10,251,2,0
22377,10,106,3,0
22854,22,816,1,0
35767,1,418,1,0
88432,5,811,4,1
78946,0,667,3,1
13194,0,409,3,0
61875,15,198,5,1
83472,5,358,3,1
94494,9,404,2,1
81164,21,588,3,1
40374,11,952,4,0
23287,2,748,3,0
92227,11,947,3,1
15578,20,761,4,1
42732,0,457,1,0
60213,18,489,5,1
52255,18,678,2,1
34939,2,623,1,0
97987,13,758,1,1
83515,16,762,5,1
60065,1,583,4,1
2576,23,478,5,0
9372,21,233,2,0
50535,0,502,3,1
34090,6,378,2,0
60363,7,176,4,1
82221,20,923,1,1
38512,7,416,5,0
1615,1,988,4,0
83114,8,804,2,1
39298,15,8,3,0
5065,6,416,5,1
76828,15,109,5,1
33391,12,184,2,0
60031,1,448,2,1
82009,8,538,4,1
32613,5,995,5,1
68357,3,657,2,1
2474,22,434,1,1
89503,21,4,1,1
4693,17,345,3,0
1033,16,421,3,0
73723,12,548,4,1
78196,14,684,4,1
60755,2,291,1,0
98204,23,372,4,1
57236,11,217,5,1
97703,9,951,1,1
10288,15,669,4,1
94699,14,464,4,1
35554,22,666,5,1
38340,16,130,4,1
56637,1,805,1,0
46555,0,921,4,1
85974,4,327,4,1
93451,23,281,5,1
16365,10,533,2,0
59523,6,673,2,1
96117,16,415,5,1
24776,6,666,1,0
93521,3,539,4,1
47170,0,521,2,0
93912,18,344,1,1
52752,16,782,1,0
55808,0,750,5,1
49371,11,870,2,0
17979,3,507,3,0
83082,22,73,2,1
53418,18,707,1,1
83034,12,162,1,0
95832,21,725,1,1
83269,2,319,2,1
68531,4,857,5,1
78533,21,170,4,1
77749,2,979,2,0
14169,17,287,2,0
59520,9,209,4,1
46506,8,978,4,1
53925,6,999,2,0
45513,17,670,1,0
59915,16,35,2,1
47142,8,765,1,0
61510,13,352,1,1
79254,22,30,1,1
84890,5,534,1,0
29296,19,120,4,1
91540,22,616,2,1
46471,10,309,3,0
24025,0,715,2,0
73616,15,483,3,1
11432,11,134,4,0
12493,17,712,3,0
93483,4,64,4,1
44446,20,14,4,0
30443,0,927,2,0
82806,20,111,1,1
89246,10,952,1,0
97010,12,399,4,1
37308,22,111,1,0
18871,2,249,2,0
703,1,766,3,0
10069,8,895,3,0
34027,22,564,5,1
66206,13,249,3,1
47802,4,667,1,0
59732,17,3,1,1
84667,14,660,4,1
84610,14,998,3,1
64178,18,232,4,1
40548,4,979,3,0
11814,7,973,5,1
61729,19,705,4,1
38963,15,535,4,0
44893,11,301,5,0
30019,11,402,1,0
10603,8,322,1,0
50287,22,802,1,1
46242,3,948,2,0
44445,4,270,4,1
83280,1,572,5,1
97904,7,360,3,0
16420,1,594,3,0
50630,23,201,3,1
89372,1,54,1,1
3578,7,596,1,0
69373,19,113,3,1
85610,11,209,5,1
93790,22,197,1,1
88373,2,393,5,1
50041,5,700,4,1
1987,5,937,5,1
89064,8,421,2,1
41957,3,361,2,0
77017,1,913,2,1
56234,12,417,3,0
27105,12,794,1,0
92897,20,662,3,0
4225,3,264,3,0
19574,5,421,4,0
88944,7,173,1,0
84511,12,736,4,1
97542,1,120,3,1
70391,23,522,4,1
66859,22,474,2,1
96785,18,923,2,1
26477,20,783,2,0
20281,13,334,1,0
9915,20,797,5,1
55217,7,71,3,0
8794,14,634,2,0
69662,5,862,3,0
71126,6,305,5,0
67361,7,321,3,0
34681,4,612,4,0
68654,22,523,5,1
31861,6,472,5,1
38940,11,672,5,0
5004,14,918,5,1
3799,17,493,3,0
5606,13,138,4,1
78268,13,251,4,1
19328,1,261,4,1
79645,5,663,5,1
75047,6,552,4,1
42443,5,220,5,0
10958,23,495,3,0
34921,22,504,3,0
62744,7,245,4,1
52194,20,504,2,1
93764,19,725,3,0
99467,22,517,1,0
90151,2,58,5,1
96091,0,982,5,1
6689,19,974,1,0
23766,14,454,5,0
96032,3,542,4,1
61129,1,728,5,1
42697,6,699,3,0
78251,23,815,2,1
38697,13,209,2,0
84364,22,466,1,1
69378,15,650,2,1
77401,5,135,3,1
83540,3,434,4,1
37510,13,588,1,0
8736,3,512,4,1
17976,4,596,1,0
50669,17,364,2,1
60826,14,79,2,1
74653,0,972,2,0
68140,0,565,1,1
70468,10,863,3,0
28666,13,538,2,0
39086,10,39,2,1
76889,7,446,3,0
43292,12,453,5,1
79519,1,241,4,1
67993,8,582,3,1
65667,15,50,1,0
38068,5,163,5,0
26025,9,124,5,0
10556,3,165,4,0
18986,12,431,1,0
14910,18,404,2,0
83525,14,629,3,1
12966,4,102,2,0
10109,4,652,3,0
82178,0,434,3,0
95080,7,606,4,1
14308,4,612,3,0
96954,13,656,2,0
89619,2,784,5,1
61723,8,915,2,0
60596,21,463,3,0
23926,15,92,2,0
50857,14,812,2,0
26859,22,346,5,0
13572,16,927,3,0
95722,0,707,1,1
53069,0,425,4,1
65597,16,908,5,1
12813,19,799,2,0
96771,13,315,3,1
10344,9,322,1,0
39369,20,461,1,0
47091,23,367,5,1
15588,3,690,4,0
1181,1,630,4,0
62487,12,539,2,0
45017,0,447,2,0
95430,0,415,3,0
55462,2,234,1,1
80801,11,682,1,1
5002,6,144,5,0
87228,3,168,5,1
37828,14,188,5,0
50863,7,348,4,1
99104,11,539,4,1
31283,22,349,1,0
52911,9,570,4,1
41173,21,172,1,0
89719,17,561,2,0
13888,10,516,2,0
76276,6,377,3,0
16762,8,833,5,1
23051,12,677,5,1
79638,23,717,5,1
73196,4,284,4,1
39522,12,486,1,0
45891,8,434,3,0
2865,10,224,5,1
41565,7,230,2,0
21720,13,879,1,0
45129,6,163,5,1
65727,0,118,2,0
44190,11,114,4,1
30526,15,678,2,0
35612,12,233,5,0
96314,18,471,4,1
15133,4,706,1,0
59717,14,212,4,1
88410,9,348,4,1
13889,0,133,1,0
35403,17,412,1,0
70516,1,634,3,1
79084,12,805,5,1
23151,9,221,5,1
27372,12,632,4,1
57920,15,443,3,0
51660,5,614,5,1
17600,16,655,5,0
72909,12,340,4,1
44472,8,87,2,0
32174,11,952,3,0
40428,16,678,5,1
43896,17,955,2,0
15301,19,464,5,1
81811,14,531,5,1
18135,17,818,2,0
28899,21,273,1,0
80794,9,92,5,1
31507,22,996,2,0
70705,17,585,2,1
60936,11,56,2,1
79484,3,351,2,1
30733,3,711,4,0
18260,8,269,4,0
69199,6,703,2,0
1704,4,181,1,0
6592,18,258,5,0
66825,6,781,2,1
91027,18,523,2,0
37858,15,411,4,1
15743,18,543,4,1
8196,2,747,1,0
23595,13,975,3,0
58531,23,310,3,0
62871,19,543,3,0
87925,23,392,5,1
10885,16,821,4,0
91326,13,375,3,1
25193,5,371,2,0
88031,11,507,3,1
91591,11,290,1,0
70865,18,422,5,1
21754,9,805,1,0
66145,23,709,3,1
71745,18,363,3,1
47771,14,184,2,0
98256,9,947,5,1
16354,3,211,4,0
68724,11,683,2,0
76362,16,284,1,1
98211,7,877,3,1
30244,9,824,2,0
96460,3,546,4,1
69466,22,819,2,0
66943,0,557,1,1
78358,4,549,4,1
47205,3,509,3,0
68996,19,353,3,0
62219,16,289,1,0
58406,8,431,5,1
72552,15,122,4,1
13670,20,954,5,1
84331,18,908,4,1
95585,13,585,3,0
89409,23,127,3,0
50530,9,214,1,1
41654,5,378,2,0
49158,12,281,5,0
64669,23,566,2,0
78800,5,458,1,1
68014,4,673,5,1
36999,9,620,1,0
